id,name,ec,party,democrat,republican,third,democrat_win,republican_win,third_win,winner
AL,Alabama,9,6,39.41,57.55,3.05,2.4,97.6,0.0,R
AZ,Arizona,11,4,48.03,48.95,3.03,43.9,56.1,0.0,R
AK,Alaska,3,5,45.28,51.56,3.15,24.3,75.7,0.0,R
AR,Arkansas,6,6,41.65,55.23,3.12,6.8,93.2,0.0,R
CA,California,55,1,65.28,31.52,3.21,99.8,0.2,0.0,R
CO,Colorado,9,1,55.51,41.35,3.14,91.9,8.1,0.0,R
DE,Delaware,3,1,59.09,37.87,3.04,98.3,1.7,0.0,R
CT,Connecticut,7,1,60.61,36.07,3.32,99.5,0.5,0.0,R
DC,District of Columbia,3,1,82.55,14.52,2.94,100.0,0.0,0.0,R
FL,Florida,29,3,48.93,48.18,2.89,52.2,47.8,0.0,R
GA,Georgia,16,5,44.54,52.52,2.94,20.1,79.9,0.0,R
IA,Iowa,6,4,47.15,49.57,3.28,39.5,60.5,0.0,R
ID,Idaho,4,6,32.46,64.39,3.15,0.0,100.0,0.0,R
HI,Hawaii,4,1,63.56,32.97,3.47,99.8,0.2,0.0,R
IL,Illinois,20,1,64.63,32.13,3.24,99.9,0.1,0.0,R
IN,Indiana,11,6,41.09,55.74,3.18,6.5,93.5,0.0,R
KS,Kansas,6,5,44.25,52.67,3.08,18.8,81.2,0.0,R
KY,Kentucky,8,6,39.84,57.01,3.14,4.3,95.7,0.0,R
LA,Louisiana,8,6,39.43,57.43,3.14,2.3,97.7,0.0,R
MA,Massachusetts,11,1,66.1,30.84,3.06,100.0,0.0,0.0,R
MD,Maryland,10,1,60.85,36.14,3.01,99.5,0.5,0.0,R
ME,Maine,2,1,54.24,42.54,3.21,86.5,13.5,0.0,R
ME_1,Maine 1st,1,2,53.3,43.76,2.94,82.6,17.4,0.0,R
ME_2,Maine 2nd,1,4,48.23,48.61,3.16,45.2,54.8,0.0,R
MI,Michigan,16,4,47.74,49.12,3.13,43.0,57.0,0.0,R
MN,Minnesota,10,3,49.27,47.7,3.03,54.5,45.5,0.0,R
MO,Missouri,10,5,43.51,53.22,3.27,14.7,85.3,0.0,R
MS,Mississippi,6,6,40.38,56.37,3.25,4.3,95.7,0.0,R
MT,Montana,3,6,42.22,54.71,3.07,9.1,90.9,0.0,R
NC,North Carolina,15,4,46.72,50.19,3.09,34.2,65.8,0.0,R
ND,North Dakota,3,6,39.56,57.2,3.23,2.6,97.4,0.0,R
NE,Nebraska,2,6,33.02,63.67,3.31,0.1,99.9,0.0,R
NE_1,Nebraska 1st,1,6,32.77,63.91,3.31,0.1,99.9,0.0,R
NE_2,Nebraska 2nd,1,4,47.33,49.62,3.04,37.6,62.4,0.0,R
NE_3,Nebraska 3rd,1,6,32.98,63.66,3.35,0.0,100.0,0.0,R
NH,New Hampshire,4,3,49.4,47.53,3.06,55.1,44.9,0.0,R
NJ,New Jersey,14,1,59.86,37.01,3.13,99.0,1.0,0.0,R
NM,New Mexico,5,1,55.56,41.31,3.13,92.8,7.2,0.0,R
NV,Nevada,6,3,50.59,45.91,3.5,66.3,33.7,0.0,R
NY,New York,29,1,62.87,34.1,3.03,99.6,0.4,0.0,R
OH,Ohio,18,4,46.32,50.66,3.02,32.3,67.7,0.0,R
OK,Oklahoma,7,6,36.63,60.31,3.06,0.4,99.6,0.0,R
OR,Oregon,7,1,59.96,36.79,3.25,99.1,0.9,0.0,R
PA,Pennsylvania,20,4,47.22,49.79,3.0,39.9,60.1,0.0,R
RI,Rhode Island,4,1,59.82,36.88,3.3,98.9,1.1,0.0,R
SC,South Carolina,9,5,44.29,52.5,3.21,17.9,82.1,0.0,R
SD,South Dakota,3,6,30.12,66.58,3.3,0.1,99.9,0.0,R
TN,Tennessee,11,6,40.77,55.96,3.27,5.3,94.7,0.0,R
TX,Texas,38,5,44.0,52.73,3.27,18.1,81.9,0.0,R
UT,Utah,6,6,40.27,56.55,3.18,3.7,96.3,0.0,R
VA,Virginia,13,1,54.51,42.29,3.2,88.6,11.4,0.0,R
VT,Vermont,3,1,59.59,37.12,3.29,98.9,1.1,0.0,R
WA,Washington,12,1,63.18,33.62,3.2,100.0,0.0,0.0,R
WI,Wisconsin,10,4,47.98,49.04,2.98,45.6,54.4,0.0,R
WV,West Virginia,5,6,31.06,65.91,3.04,0.0,100.0,0.0,R
WY,Wyoming,3,6,33.1,63.6,3.29,0.1,99.9,0.0,R
